model_label,n_papers,total_integration_claims,mean_integration_claims,total_domain_evidence,mean_domain_evidence,total_psychological_concepts,mean_psychological_concepts,total_defined_concepts,mean_defined_concepts,total_theoretical_frameworks,mean_theoretical_frameworks,total_conceptual_problems,mean_conceptual_problems,total_key_quotes,mean_key_quotes,total_evidence_quotes,mean_evidence_quotes
DeepSeek-V4-Flash,47,165,3.51,133,2.83,334,7.11,74,1.57,115,2.45,104,2.21,132,2.81,706,15.02
Nex-N2-Mini,47,428,9.11,141,3.0,628,13.36,181,3.85,250,5.32,216,4.6,282,6.0,1738,36.98
Laguna-XS-2.1,47,199,4.23,138,2.94,340,7.23,56,1.19,101,2.15,149,3.17,225,4.79,868,18.47
