node_type,label,record_id,year,review_type,dominant_domain,dominant_loading,tsne_x,tsne_y,pca_x,pca_y,parent_domain
record,pubmed_40624502,pubmed_40624502,2025.0,systematic review,social,0.3422999978065491,-4.5845037,4.11249,4.982696,-2.9241722,social
record,pubmed_39468650,pubmed_39468650,2024.0,scoping or mapping review,biological,0.34049999713897705,-6.5332146,8.531272,8.1558695,-4.601294,biological
record,pubmed_17420400,pubmed_17420400,2007.0,meta-analysis,biological,0.3400999903678894,-8.817158,1.1460538,9.931202,1.2456852,biological
record,pubmed_39137213,pubmed_39137213,2024.0,meta-analysis,social,0.3409999907016754,-4.6226344,7.666154,11.183834,-16.798254,social
record,pubmed_36791365,pubmed_36791365,2023.0,narrative or expert review,biological,0.3447999954223633,-1.3311692,-4.4729686,5.33364,-0.5439465,biological
record,pubmed_22550985,pubmed_22550985,2012.0,narrative or expert review,biological,0.3440999984741211,2.3213117,-0.4961529,7.3100176,5.316941,biological
record,pubmed_19418887,pubmed_19418887,2009.0,narrative or expert review,psychological,0.3427000045776367,0.996232,7.9261746,4.2375674,-8.68622,psychological
record,pubmed_24966693,pubmed_24966693,2014.0,narrative or expert review,biological,0.364300012588501,-5.9452515,3.2668574,7.830499,3.687474,biological
record,pubmed_25953594,pubmed_25953594,2015.0,systematic review,biological,0.36890000104904175,-0.9905968,4.430906,8.837,-2.440448,biological
record,pubmed_38754116,pubmed_38754116,2024.0,narrative or expert review,biological,0.3578999936580658,-10.933192,5.174009,1.6142149,2.3602653,biological
record,pubmed_39629040,pubmed_39629040,2024.0,narrative or expert review,biological,0.3709999918937683,-6.850899,0.7141019,9.148577,19.357733,biological
record,pubmed_38137395,pubmed_38137395,2023.0,narrative or expert review,biological,0.3538999855518341,-8.56942,1.8774585,12.332002,5.4245696,biological
record,pubmed_26039013,pubmed_26039013,2015.0,narrative or expert review,psychological,0.36250001192092896,1.2734368,8.388974,2.4081168,-8.97635,psychological
record,pubmed_38132273,pubmed_38132273,2023.0,narrative or expert review,biological,0.34779998660087585,-2.1491446,1.0207703,6.3456807,11.353103,biological
record,pubmed_38470686,pubmed_38470686,2024.0,systematic review,psychological,0.33719998598098755,-10.899199,5.255494,9.865039,-9.847616,psychological
record,pubmed_33396262,pubmed_33396262,2020.0,scoping or mapping review,social,0.33959999680519104,3.1870463,3.4268064,6.1371417,-11.026869,social
record,pubmed_36675454,pubmed_36675454,2023.0,narrative or expert review,biological,0.3474000096321106,-2.523484,-4.193258,7.1541424,5.80483,biological
record,WOS:001116314900001,WOS:001116314900001,,network meta-analysis,social,0.3402000069618225,-5.016208,8.79927,8.390817,-10.076306,social
record,pubmed_31466408,pubmed_31466408,2019.0,narrative or expert review,psychological,0.34119999408721924,-3.5402827,9.561093,15.226011,-8.909361,psychological
record,pubmed_36278735,pubmed_36278735,2022.0,systematic review,psychological,0.3440999984741211,-4.943704,7.3677683,13.611809,-3.208339,psychological
record,pubmed_31878346,pubmed_31878346,2019.0,systematic review,biological,0.3418999910354614,-5.091778,5.52825,13.77936,-1.5773121,biological
record,pubmed_39768944,pubmed_39768944,2024.0,systematic review,biological,0.34130001068115234,-5.6741834,7.46276,15.803197,-9.902153,biological
